# original: 0x07b9=0x00 0x07d0=0x00 
ts,phase,ac,status,capacity,charge_now,current_now,voltage_now,mem7b9,mem7d0,regmap7b9
2026-09-17T19:45:05+02:00,baseline,1,Charging,79,1580000,1938000,16396000,0x00,0x00,00
2026-09-17T19:45:16+02:00,baseline,1,Charging,79,1580000,1938000,16396000,0x00,0x00,00
2026-09-17T19:45:26+02:00,baseline,1,Charging,79,1580000,1938000,16396000,0x00,0x00,00
2026-09-17T19:45:36+02:00,baseline,1,Charging,79,1580000,1938000,16396000,0x00,0x00,00
2026-09-17T19:45:46+02:00,baseline,1,Charging,80,1600000,1938000,16396000,0x00,0x00,00
2026-09-17T19:45:57+02:00,baseline,1,Charging,80,1600000,1938000,16396000,0x00,0x00,00
0x07b9: was 0x00 wrote 0x3c readback 0x3c
2026-09-17T19:46:07+02:00,up60,1,Charging,80,1600000,1938000,16396000,0x3c,0x00,3c
2026-09-17T19:46:17+02:00,up60,1,Charging,81,1620000,1938000,16396000,0x3c,0x00,3c
2026-09-17T19:46:28+02:00,up60,1,Charging,81,1620000,1938000,16396000,0x3c,0x00,3c
2026-09-17T19:46:38+02:00,up60,1,Charging,81,1620000,1904000,16396000,0x3c,0x00,3c
2026-09-17T19:46:48+02:00,up60,1,Charging,81,1620000,1904000,16396000,0x3c,0x00,3c
2026-09-17T19:46:58+02:00,up60,1,Charging,82,1640000,1904000,16396000,0x3c,0x00,3c
2026-09-17T19:47:09+02:00,up60,1,Charging,82,1640000,1904000,16396000,0x3c,0x00,3c
2026-09-17T19:47:19+02:00,up60,1,Charging,82,1640000,1904000,16419000,0x3c,0x00,3c
2026-09-17T19:47:29+02:00,up60,1,Charging,82,1640000,1904000,16419000,0x3c,0x00,3c
2026-09-17T19:47:39+02:00,up60,1,Charging,83,1660000,1904000,16419000,0x3c,0x00,3c
2026-09-17T19:47:50+02:00,up60,1,Charging,83,1660000,1904000,16419000,0x3c,0x00,3c
2026-09-17T19:48:00+02:00,up60,1,Charging,83,1660000,1904000,16419000,0x3c,0x00,3c
0x07d0: was 0x00 wrote 0x37 readback 0x37
2026-09-17T19:48:10+02:00,up60down55,1,Charging,84,1680000,1904000,16419000,0x3c,0x37,3c
2026-09-17T19:48:20+02:00,up60down55,1,Charging,84,1680000,1904000,16419000,0x3c,0x37,3c
2026-09-17T19:48:31+02:00,up60down55,1,Charging,84,1680000,1904000,16419000,0x3c,0x37,3c
2026-09-17T19:48:41+02:00,up60down55,1,Charging,84,1680000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:48:51+02:00,up60down55,1,Charging,85,1700000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:49:01+02:00,up60down55,1,Charging,85,1700000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:49:12+02:00,up60down55,1,Charging,85,1700000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:49:22+02:00,up60down55,1,Charging,85,1700000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:49:32+02:00,up60down55,1,Charging,86,1720000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:49:42+02:00,up60down55,1,Charging,86,1720000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:49:53+02:00,up60down55,1,Charging,86,1720000,1870000,16419000,0x3c,0x37,3c
2026-09-17T19:50:03+02:00,up60down55,1,Charging,86,1720000,1870000,16419000,0x3c,0x37,3c
0x07b9: was 0x3c wrote 0x00 readback 0x00
0x07d0: was 0x37 wrote 0x00 readback 0x00
2026-09-17T19:50:13+02:00,restore,1,Charging,87,1740000,1870000,16419000,0x00,0x00,00
2026-09-17T19:50:24+02:00,restore,1,Charging,87,1740000,1870000,16419000,0x00,0x00,00
2026-09-17T19:50:34+02:00,restore,1,Charging,87,1740000,1870000,16419000,0x00,0x00,00
2026-09-17T19:50:44+02:00,restore,1,Charging,88,1760000,1836000,16419000,0x00,0x00,00
2026-09-17T19:50:54+02:00,restore,1,Charging,88,1760000,1836000,16419000,0x00,0x00,00
2026-09-17T19:51:05+02:00,restore,1,Charging,88,1760000,1836000,16443000,0x00,0x00,00
0x07b9: was 0x00 wrote 0xbc readback 0xbc
0x07d0: was 0x00 wrote 0x37 readback 0x37
2026-09-17T19:51:38+02:00,up60bit7down55,1,Charging,89,1780000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:51:48+02:00,up60bit7down55,1,Charging,89,1780000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:51:58+02:00,up60bit7down55,1,Charging,89,1780000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:52:09+02:00,up60bit7down55,1,Charging,90,1800000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:52:19+02:00,up60bit7down55,1,Charging,90,1800000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:52:29+02:00,up60bit7down55,1,Charging,90,1800000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:52:39+02:00,up60bit7down55,1,Charging,91,1820000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:52:50+02:00,up60bit7down55,1,Charging,91,1820000,1836000,16443000,0xbc,0x37,bc
2026-09-17T19:53:00+02:00,up60bit7down55,1,Charging,91,1820000,1802000,16443000,0xbc,0x37,bc
2026-09-17T19:53:10+02:00,up60bit7down55,1,Charging,91,1820000,1802000,16443000,0xbc,0x37,bc
2026-09-17T19:53:20+02:00,up60bit7down55,1,Charging,92,1840000,1802000,16443000,0xbc,0x37,bc
2026-09-17T19:53:31+02:00,up60bit7down55,1,Charging,92,1840000,1802000,16443000,0xbc,0x37,bc
0x07b9: was 0xbc wrote 0x00 readback 0x00
0x07d0: was 0x37 wrote 0x00 readback 0x00
2026-09-17T19:53:41+02:00,restore2,1,Charging,92,1840000,1802000,16443000,0x00,0x00,00
2026-09-17T19:53:51+02:00,restore2,1,Charging,92,1840000,1802000,16443000,0x00,0x00,00
2026-09-17T19:54:02+02:00,restore2,1,Charging,93,1860000,1802000,16443000,0x00,0x00,00
0x07b9: was 0x00 wrote 0x5f readback 0x5f
0x07d0: was 0x00 wrote 0x5a readback 0x5a
2026-09-17T19:54:32+02:00,up95down90_below,1,Charging,93,1860000,1768000,16443000,0x5f,0x5a,5f
2026-09-17T19:54:42+02:00,up95down90_below,1,Charging,94,1880000,1768000,16443000,0x5f,0x5a,5f
2026-09-17T19:54:52+02:00,up95down90_below,1,Charging,94,1880000,1768000,16443000,0x5f,0x5a,5f
2026-09-17T19:55:03+02:00,up95down90_below,1,Charging,94,1880000,1768000,16443000,0x5f,0x5a,5f
2026-09-17T19:55:13+02:00,up95down90_below,1,Charging,94,1880000,1768000,16443000,0x5f,0x5a,5f
2026-09-17T19:55:23+02:00,up95down90_below,1,Charging,95,1900000,1768000,16443000,0x5f,0x5a,5f
2026-09-17T19:55:33+02:00,up95down90_below,1,Charging,95,1900000,1734000,16443000,0x5f,0x5a,5f
2026-09-17T19:55:44+02:00,up95down90_below,1,Charging,95,1900000,1734000,16443000,0x5f,0x5a,5f
2026-09-17T19:55:54+02:00,up95down90_below,1,Charging,95,1900000,1734000,16443000,0x5f,0x5a,5f
