ts,phase,ac,charging,capacity,remaining_mwh,wmi_rate_mw,ec_current_ma,ec_voltage_mv,ec_07a6,ec_07b9,ec_07d0,ec_07d1,ec_07cc
2026-09-18T22:52:11+02:00,stationary_28pct,1,1,28,8512,0,0,15129,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:52:18+02:00,stationary_28pct,1,1,28,8512,0,0,15129,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:52:24+02:00,stationary_28pct,1,1,28,8512,0,0,15129,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:52:31+02:00,stationary_28pct,1,1,28,8512,0,0,15129,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:54:15+02:00,stationary_ac_28pct,1,1,29,8816,32683,2040,16021,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:54:28+02:00,stationary_ac_28pct,1,1,29,8816,32730,2040,16044,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:54:42+02:00,stationary_ac_28pct,1,1,30,9120,32730,2040,16068,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:54:56+02:00,stationary_ac_28pct,1,1,30,9120,32779,2040,16068,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:55:09+02:00,stationary_ac_28pct,1,1,31,9424,32826,2040,16091,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:55:23+02:00,stationary_ac_28pct,1,1,31,9424,32826,2040,16091,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:55:53+02:00,stationary_charge_from_28,1,1,32,9728,32873,2040,16114,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:56:15+02:00,stationary_charge_from_28,1,1,32,9728,32873,2040,16114,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:56:37+02:00,stationary_charge_from_28,1,1,33,10032,32873,2040,16114,0x09,0x00,0x00,0x00,0x00
2026-09-18T22:56:58+02:00,stationary_charge_from_28,1,1,34,10336,32922,2040,16138,0x19,0x00,0x00,0x00,0x00
2026-09-18T22:57:19+02:00,stationary_charge_from_28,1,1,34,10336,32922,2040,16138,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:57:41+02:00,stationary_charge_from_28,1,1,35,10640,32968,2040,16161,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:58:02+02:00,stationary_charge_from_28,1,1,35,10640,32968,2040,16161,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:58:24+02:00,stationary_charge_from_28,1,1,36,10944,32968,2040,16161,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:58:45+02:00,stationary_charge_from_28,1,1,37,11248,32968,2040,16161,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:59:07+02:00,stationary_charge_from_28,1,1,37,11248,33017,2040,16185,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:59:28+02:00,stationary_charge_from_28,1,1,38,11552,33017,2040,16185,0x29,0x00,0x00,0x00,0x00
2026-09-18T22:59:50+02:00,stationary_charge_from_28,1,1,39,11552,33017,2040,16185,0x29,0x00,0x00,0x00,0x00
2026-09-18T23:00:11+02:00,stationary_charge_from_28,1,1,39,11856,33064,2040,16208,0x29,0x00,0x00,0x00,0x00
2026-09-18T23:00:32+02:00,stationary_charge_from_28,1,1,40,12160,33064,2040,16208,0x29,0x00,0x00,0x00,0x00
2026-09-18T23:00:54+02:00,stationary_charge_from_28,1,1,40,12160,33064,2040,16232,0x29,0x00,0x00,0x00,0x00
2026-09-18T23:01:15+02:00,stationary_charge_from_28,1,1,41,12464,33113,2040,16232,0x29,0x00,0x00,0x00,0x00
